epoch,accuracy,loss,val_accuracy,val_loss
0,0.0,0.5085326433181763,0.0,0.5008528828620911
1,0.0,0.49993184208869934,0.0,0.5008478164672852
2,0.0,0.49989742040634155,0.0,0.5009167194366455
3,0.0,0.4999217391014099,0.0,0.5008509159088135
4,0.0,0.4999024271965027,0.0,0.5008668303489685
5,0.0,0.49990683794021606,0.0,0.5009251236915588
6,0.0,0.49989959597587585,0.0,0.5008910894393921
7,0.0,0.4998965263366699,0.0,0.5009016394615173
8,0.0,0.499942809343338,0.0,0.5008516311645508
9,0.0,0.4998920261859894,0.0,0.5008482336997986
10,0.0,0.49991172552108765,0.0,0.5010301470756531
11,0.0,0.4999270439147949,0.0,0.5008586049079895
12,0.0,0.4999011158943176,0.0,0.5008477568626404
13,0.0,0.4998897910118103,0.0,0.500944972038269
14,0.0,0.4999091327190399,0.0,0.5008587837219238
15,0.0,0.4999062418937683,0.0,0.5008715987205505
16,0.0,0.4998868703842163,0.0,0.5008700489997864
17,0.0,0.49990585446357727,0.0,0.5008603930473328
18,0.0,0.49992886185646057,0.0,0.5010791420936584
19,0.0,0.49991607666015625,0.0,0.5008703470230103
20,0.0,0.49986088275909424,0.0,0.5008500218391418
21,0.0,0.4998684525489807,0.0,0.5010227560997009
22,0.0,0.499905526638031,0.0,0.5009305477142334
23,0.0,0.49992504715919495,0.0,0.500922441482544
24,0.0,0.4999256432056427,0.0,0.5009734630584717
25,0.0,0.49991732835769653,0.0,0.5013087391853333
26,0.0,0.49996283650398254,0.0,0.5009002089500427
27,0.0,0.49989423155784607,0.0,0.5009782314300537
28,0.0,0.49989742040634155,0.0,0.5009008049964905
29,0.0,0.4999118745326996,0.0,0.5009080767631531
30,0.0,0.4998532831668854,0.0,0.5011054277420044
31,0.0,0.4998364746570587,0.0,0.5008964538574219
32,0.0,0.49991971254348755,0.0,0.5009159445762634
33,0.0,0.4999060034751892,0.0,0.5009345412254333
34,0.0,0.49993565678596497,0.0,0.5008586645126343
35,0.0,0.4999137222766876,0.0,0.50101637840271
36,0.0,0.49986961483955383,0.0,0.5009487867355347
